report_type,organization,platform,metric,target,date,dim1,dim2,value
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,A,,1
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,B,,2
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2019-12-01,C,,3
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,A,,4
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,B,,5
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-01-01,C,,6
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,A,,7
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,B,,8
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-02-01,C,,9
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,A,,10
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,B,,11
Report type 1,Organization 1,Platform 1,Metric 1,Title 1,2020-03-01,C,,12
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,A,,13
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,B,,14
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2019-12-01,C,,15
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,A,,16
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,B,,17
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-01-01,C,,18
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,A,,19
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,B,,20
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-02-01,C,,21
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,A,,22
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,B,,23
Report type 1,Organization 1,Platform 1,Metric 1,Title 2,2020-03-01,C,,24
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,A,,25
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,B,,26
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2019-12-01,C,,27
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,A,,28
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,B,,29
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-01-01,C,,30
Report type 1,Organization 1,Platform 1,Metric 1,Title 3,2020-02-01,A,,31
